"url","abstract","short_abstract","T5","BART","BART-CNN","abs","choice"
"1211","Il 1211 (MCCXI in numeri romani) è un anno del XIII secolo.","Il 1211 (MCCXI in numeri romani) è un anno del XIII secolo.","Il 1211 (MCCXI in numeri romani) è un anno del XIII secolo. il 1211 è un anno del XIII secolo.","Il 1211 (MCCXI in numeri romani) è un anno del XIII secolo.","<s>Il 1211 (MCCXI in numeri romani) è un anno del XIII secolo. Il 1211, in numero romani, è il 12th year of the 12th century in the history of Christianity. In numeri, il 1211 è la 12th anno of the XII secolo of the Catholic Church.","1211 is the anniversary of the assassination of King Charles I in 1211. The year 1211 is also known as the Year of the Snows in the Book of Zechariah. In 1211, 1211 was the first year that the U.S. was not a member of the European Union.","{{short_abstract}}"
"1211","Il 1211 (MCCXI in numeri romani) è un anno del XIII secolo.","Il 1211 (MCCXI in numeri romani) è un anno del XIII secolo.","Il 1211 (MCCXI in numeri romani) è un anno del XIII secolo. il 1211 è un anno del XIII secolo.","Il 1211 (MCCXI in numeri romani) è un anno del XIII secolo.","<s>Il 1211 (MCCXI in numeri romani) è un anno del XIII secolo. Il 1211, in numero romani, è il 12th year of the 12th century in the history of Christianity. In numeri, il 1211 è la 12th anno of the XII secolo of the Catholic Church.","1211 is the anniversary of the assassination of King Charles I in 1211. The year 1211 is also known as the Year of the Snows in the Book of Zechariah. In 1211, 1211 was the first year that the U.S. was not a member of the European Union.","{{short_abstract}}"
"1211","Il 1211 (MCCXI in numeri romani) è un anno del XIII secolo.","Il 1211 (MCCXI in numeri romani) è un anno del XIII secolo.","Il 1211 (MCCXI in numeri romani) è un anno del XIII secolo. il 1211 è un anno del XIII secolo.","Il 1211 (MCCXI in numeri romani) è un anno del XIII secolo.","<s>Il 1211 (MCCXI in numeri romani) è un anno del XIII secolo. Il 1211, in numero romani, è il 12th year of the 12th century in the history of Christianity. In numeri, il 1211 è la 12th anno of the XII secolo of the Catholic Church.","1211 is the anniversary of the assassination of King Charles I in 1211. The year 1211 is also known as the Year of the Snows in the Book of Zechariah. In 1211, 1211 was the first year that the U.S. was not a member of the European Union.","{{short_abstract}}"
"1617","Il 1617 (MDCXVII in numeri romani) è un anno del XVII secolo.","Il 1617 (MDCXVII in numeri romani) è un anno del XVII secolo.","1617 è un anno del XVII secolo. è un anno del XVII secolo. è un anno del XVII secolo.","Il 1617 (MDCXVII in numeri romani) è un anno del XVII secolo.","Summarize: Il 1617 (MDCXVII in numeri romani) è un anno del XVII secolo. In numeri italiani, italiano,  ""MDC"" è ""MDC XVII""","The year 1617 is the anniversary of the assassination of Gen. Charles Manson, who was killed in 1969. In 1617, the world's first openly gay man was elected to the U.S. House of Representatives from Springfield, Illinois. The year is also known as the ""Year of the Punk"" due to the political unrest of the 1960s.","{{short_abstract}}"
"1617","Il 1617 (MDCXVII in numeri romani) è un anno del XVII secolo.","Il 1617 (MDCXVII in numeri romani) è un anno del XVII secolo.","1617 è un anno del XVII secolo. è un anno del XVII secolo. è un anno del XVII secolo.","Il 1617 (MDCXVII in numeri romani) è un anno del XVII secolo.","Summarize: Il 1617 (MDCXVII in numeri romani) è un anno del XVII secolo. In numeri italiani, italiano,  ""MDC"" è ""MDC XVII""","The year 1617 is the anniversary of the assassination of Gen. Charles Manson, who was killed in 1969. In 1617, the world's first openly gay man was elected to the U.S. House of Representatives from Springfield, Illinois. The year is also known as the ""Year of the Punk"" due to the political unrest of the 1960s.","{{short_abstract}}"
"1617","Il 1617 (MDCXVII in numeri romani) è un anno del XVII secolo.","Il 1617 (MDCXVII in numeri romani) è un anno del XVII secolo.","1617 è un anno del XVII secolo. è un anno del XVII secolo. è un anno del XVII secolo.","Il 1617 (MDCXVII in numeri romani) è un anno del XVII secolo.","Summarize: Il 1617 (MDCXVII in numeri romani) è un anno del XVII secolo. In numeri italiani, italiano,  ""MDC"" è ""MDC XVII""","The year 1617 is the anniversary of the assassination of Gen. Charles Manson, who was killed in 1969. In 1617, the world's first openly gay man was elected to the U.S. House of Representatives from Springfield, Illinois. The year is also known as the ""Year of the Punk"" due to the political unrest of the 1960s.","{{short_abstract}}"
"1656","Il 1656 (MDCLVI in numeri romani) è un anno bisestile del XVII secolo.","Il 1656 (MDCLVI in numeri romani) è un anno bisestile del XVII secolo.","il 1656 è un anno bisestile del XVII secolo. il 1656 è un anno bisestile del XVII secolo.","Il 1656 (MDCLVI in numeri romani) è un anno bisestile del XVII secolo.","Summarize: Il 1656 (MDCLVI in numeri romani) è un anno bisestile del XVII secolo. In numeri: 1656, 1657, 1658, 1659, 1660, 1661, 1662, 1663, 1664, 1665.","The year 1656 is the anniversary of the start of World War II in World War I. In 1656, the U.S. President George W. Bush was elected to the White House for the first time. The White House was officially inaugurated on July 25, 1656.","{{short_abstract}}"
"1656","Il 1656 (MDCLVI in numeri romani) è un anno bisestile del XVII secolo.","Il 1656 (MDCLVI in numeri romani) è un anno bisestile del XVII secolo.","il 1656 è un anno bisestile del XVII secolo. il 1656 è un anno bisestile del XVII secolo.","Il 1656 (MDCLVI in numeri romani) è un anno bisestile del XVII secolo.","Summarize: Il 1656 (MDCLVI in numeri romani) è un anno bisestile del XVII secolo. In numeri: 1656, 1657, 1658, 1659, 1660, 1661, 1662, 1663, 1664, 1665.","The year 1656 is the anniversary of the start of World War II in World War I. In 1656, the U.S. President George W. Bush was elected to the White House for the first time. The White House was officially inaugurated on July 25, 1656.","{{short_abstract}}"
"1656","Il 1656 (MDCLVI in numeri romani) è un anno bisestile del XVII secolo.","Il 1656 (MDCLVI in numeri romani) è un anno bisestile del XVII secolo.","il 1656 è un anno bisestile del XVII secolo. il 1656 è un anno bisestile del XVII secolo.","Il 1656 (MDCLVI in numeri romani) è un anno bisestile del XVII secolo.","Summarize: Il 1656 (MDCLVI in numeri romani) è un anno bisestile del XVII secolo. In numeri: 1656, 1657, 1658, 1659, 1660, 1661, 1662, 1663, 1664, 1665.","The year 1656 is the anniversary of the start of World War II in World War I. In 1656, the U.S. President George W. Bush was elected to the White House for the first time. The White House was officially inaugurated on July 25, 1656.","{{short_abstract}}"
"211_a.C.","Il 211 a.C. (CCXI a.C. in numeri romani) è un anno del III secolo a.C.","Il 211 a.C. (CCXI a.C. in numeri romani) è un anno del III secolo a.C.","il 211 a.c. (CCXI a.c. in numeri romani) è un anno del III secolo a.c.","Il 211 a.C. (CCXI a.C. in numeri romani) è un anno del III secolo a.C.","Il 211 a.C. (CCXI a. c. in numeri romani) è un anno del III secolo a.c. (CXI) in numero romani. In numeri italiani, italiano è ""C"" or ""C"", in Italian, ""c"" â’ “c” or “C’”.","In numeri romani, 211 A.C. in numeri Romani means ""in numero romani"" 211 a.c. means ""the third year of the third century"" in Latin, ""a.c"" means ""first year"" or ""the year""","{{short_abstract}}"
