"url","abstract","short_abstract","T5","BART","BART-CNN","abs","choice"
"1._Februar","Der 1. Februar (im Süden des deutschsprachigen Raumes auch: 1. Feber) ist der 32. Tag des gregorianischen Kalenders, somit bleiben 333 Tage (in Schaltjahren 334 Tage) bis zum Jahresende.","Der 1. Februar (im Süden des deutschsprachigen Raumes auch 1. Feber) ist der 32. Tag des gregorianischen Kalenders, somit bleiben 333 Tage (in Schaltjahren 334 Tage) bis zum Jahresende.","1. february is the 32. day of the gregorian calendar, thus remain 333 days (in Schaltjahren 334 days) until the year's end. it is the first day of the Gregorian calendar in the month of february.","Der 1. Februar (im Süden des deutschsprachigen Raumes auch: 1. Feber) ist der 32. Tag des gregorianischen Kalenders, somit bleiben 333 Tage (in Schaltjahren 334 Tage) bis zum Jahresende.","1. Februar ist der 32. Tag des gregorianischen Kalenders. Somit bleiben 333 Tage (in Schaltjahren 334 Tage) bis zum Jahresende. Der 1. Februaryruar (im Süden des deutschsprachigen Raumes auch: 1. Feber) ist die letzte Kalender.","1. februar (im süden des deutschsprachigen raumes auch: 1. feber) ist der 32. tag des gregorianischen kalenders, somit bleiben 333 tage (in schaltjahren 334 tage bis zum jahresende.","{{BART-CNN}}"
"1._Februar","Der 1. Februar (im Süden des deutschsprachigen Raumes auch: 1. Feber) ist der 32. Tag des gregorianischen Kalenders, somit bleiben 333 Tage (in Schaltjahren 334 Tage) bis zum Jahresende.","Der 1. Februar (im Süden des deutschsprachigen Raumes auch 1. Feber) ist der 32. Tag des gregorianischen Kalenders, somit bleiben 333 Tage (in Schaltjahren 334 Tage) bis zum Jahresende.","1. february is the 32. day of the gregorian calendar, thus remain 333 days (in Schaltjahren 334 days) until the year's end. it is the first day of the Gregorian calendar in the month of february.","Der 1. Februar (im Süden des deutschsprachigen Raumes auch: 1. Feber) ist der 32. Tag des gregorianischen Kalenders, somit bleiben 333 Tage (in Schaltjahren 334 Tage) bis zum Jahresende.","1. Februar ist der 32. Tag des gregorianischen Kalenders. Somit bleiben 333 Tage (in Schaltjahren 334 Tage) bis zum Jahresende. Der 1. Februaryruar (im Süden des deutschsprachigen Raumes auch: 1. Feber) ist die letzte Kalender.","1. februar (im süden des deutschsprachigen raumes auch: 1. feber) ist der 32. tag des gregorianischen kalenders, somit bleiben 333 tage (in schaltjahren 334 tage bis zum jahresende.","{{short_abstract}}"
"1._Februar","Der 1. Februar (im Süden des deutschsprachigen Raumes auch: 1. Feber) ist der 32. Tag des gregorianischen Kalenders, somit bleiben 333 Tage (in Schaltjahren 334 Tage) bis zum Jahresende.","Der 1. Februar (im Süden des deutschsprachigen Raumes auch 1. Feber) ist der 32. Tag des gregorianischen Kalenders, somit bleiben 333 Tage (in Schaltjahren 334 Tage) bis zum Jahresende.","1. february is the 32. day of the gregorian calendar, thus remain 333 days (in Schaltjahren 334 days) until the year's end. it is the first day of the Gregorian calendar in the month of february.","Der 1. Februar (im Süden des deutschsprachigen Raumes auch: 1. Feber) ist der 32. Tag des gregorianischen Kalenders, somit bleiben 333 Tage (in Schaltjahren 334 Tage) bis zum Jahresende.","1. Februar ist der 32. Tag des gregorianischen Kalenders. Somit bleiben 333 Tage (in Schaltjahren 334 Tage) bis zum Jahresende. Der 1. Februaryruar (im Süden des deutschsprachigen Raumes auch: 1. Feber) ist die letzte Kalender.","1. februar (im süden des deutschsprachigen raumes auch: 1. feber) ist der 32. tag des gregorianischen kalenders, somit bleiben 333 tage (in schaltjahren 334 tage bis zum jahresende.","{{T5}}"
"1._Juli","Der 1. Juli ist der 182. Tag des gregorianischen Kalenders (der 183. in Schaltjahren), somit bleiben 183 Tage bis zum Jahresende.","Der 1. Juli ist der 182. Tag des gregorianischen Kalenders (der 183. in Schaltjahren), somit bleiben 183 Tage bis zum Jahresende. Damit gehört der 1. Juli auf die Tage bezogen zur ersten Jahreshälfte, obwohl er von den Monaten her der zweiten Jahreshälfte zugerechnet wird.","Der 1. july ist der 182. tag des gregorianischen Kalenders (der 183. in Schaltjahren), somit bleiben 183 Tage bis zum Jahresende. der 1. july ist der 18.","Der 1. Juli ist der 182. Tag des gregorianischen Kalenders (der 183. in Schaltjahren), somit bleiben 183 Tage bis zum Jahresende.","Der 1. Juli ist der 182. Tag des gregorianischen Kalenders (der 183. in Schaltjahren) somit bleiben 183 Tage bis zum Jahresende. Der 1. August ist das letzte Tag des Kalenders.","1. Juli ist der 182. tag des gregorianischen kalenders (der 183. in schaltjahren), somit bleiben 183 tage bis zum jahresende. 1. Juli ist the first day of the new year.","{{abs}}"
"1._Juli","Der 1. Juli ist der 182. Tag des gregorianischen Kalenders (der 183. in Schaltjahren), somit bleiben 183 Tage bis zum Jahresende.","Der 1. Juli ist der 182. Tag des gregorianischen Kalenders (der 183. in Schaltjahren), somit bleiben 183 Tage bis zum Jahresende. Damit gehört der 1. Juli auf die Tage bezogen zur ersten Jahreshälfte, obwohl er von den Monaten her der zweiten Jahreshälfte zugerechnet wird.","Der 1. july ist der 182. tag des gregorianischen Kalenders (der 183. in Schaltjahren), somit bleiben 183 Tage bis zum Jahresende. der 1. july ist der 18.","Der 1. Juli ist der 182. Tag des gregorianischen Kalenders (der 183. in Schaltjahren), somit bleiben 183 Tage bis zum Jahresende.","Der 1. Juli ist der 182. Tag des gregorianischen Kalenders (der 183. in Schaltjahren) somit bleiben 183 Tage bis zum Jahresende. Der 1. August ist das letzte Tag des Kalenders.","1. Juli ist der 182. tag des gregorianischen kalenders (der 183. in schaltjahren), somit bleiben 183 tage bis zum jahresende. 1. Juli ist the first day of the new year.","{{T5}}"
"1._Juli","Der 1. Juli ist der 182. Tag des gregorianischen Kalenders (der 183. in Schaltjahren), somit bleiben 183 Tage bis zum Jahresende.","Der 1. Juli ist der 182. Tag des gregorianischen Kalenders (der 183. in Schaltjahren), somit bleiben 183 Tage bis zum Jahresende. Damit gehört der 1. Juli auf die Tage bezogen zur ersten Jahreshälfte, obwohl er von den Monaten her der zweiten Jahreshälfte zugerechnet wird.","Der 1. july ist der 182. tag des gregorianischen Kalenders (der 183. in Schaltjahren), somit bleiben 183 Tage bis zum Jahresende. der 1. july ist der 18.","Der 1. Juli ist der 182. Tag des gregorianischen Kalenders (der 183. in Schaltjahren), somit bleiben 183 Tage bis zum Jahresende.","Der 1. Juli ist der 182. Tag des gregorianischen Kalenders (der 183. in Schaltjahren) somit bleiben 183 Tage bis zum Jahresende. Der 1. August ist das letzte Tag des Kalenders.","1. Juli ist der 182. tag des gregorianischen kalenders (der 183. in schaltjahren), somit bleiben 183 tage bis zum jahresende. 1. Juli ist the first day of the new year.","{{T5}}"
"Absolutmessung","Unter einer Absolutmessung versteht man in der Experimentalphysik die quantitative Bestimmung einer Messgröße, unter Angabe von Maßeinheiten. Voraussetzung hierfür ist eine Kalibrierung der Messapparatur. Nicht immer sind Absolutmessungen zur Klärung einer physikalischen Fragestellung erforderlich (z. B. bei der experimentellen Bestimmung des Exponenten bei einem theoretisch vorhergesagten Potenzgesetz). Ist eine Absolutmessung nicht von Interesse oder nicht möglich, werden die Messergebnisse in willkürlichen Einheiten (engl.: arbitrary units, abgekürzt a.u.) angegeben. In der Geodäsie versteht man unter einer Absolutmessung die Vermessung zur Erfassung von Bewegungen und Verformungen eines zu überwachenden Objektes oder einzelner Objektpunkte, gegenüber einem äußeren durch die zu erwartenden Formveränderungen des Objektes nicht beeinflussten Bezugssystem.","Unter einer Absolutmessung versteht man in der Experimentalphysik die Messung des Gesamtwertes einer physikalischen Größe durch Rückführung auf physikalische Basiseinheiten auf der Grundlage expliziter, exakter, gesetzmäßiger Zusammenhänge und bekannter Naturkonstanten. In der Geodäsie versteht man unter einer Absolutmessung die Vermessung zur Erfassung von Bewegungen und Verformungen eines zu überwachenden Objektes oder einzelner Objektpunkte, gegenüber einem äußeren durch die zu erwartenden Formveränderungen des Objektes nicht beeinflussten Bezugssystem.","unter einer absoluten messung versteht man in der experimentalphysik die quantitative Bestimmung einer messgröße, unter Angabe von Maßeinheiten. Voraussetzung hierfür ist eine Kalibrierung der messapparatur.","Unter einer Absolutmessung versteht man in der Experimentalphysik die quantitative Bestimmung einer Messgröße, unter Angabe von Maßeinheiten. Voraussetzung hierfür ist eine Kalibrierung der Messapparatur.","In der Experimentalphysik versteht man die quantitative Bestimmung einer Messgröße. Voraussetzung hierfür ist eine Kalibrierung der Messapparatur. Ist eine Absolutmessung nicht von Interesse oder nicht möglich, werden die Messergebnisse in willkürlichen Einheiten (engl.: arbitrary units, abge","Nicht immer sind absolRIPTessungen zur klärung einer physikalischen fragestellung erforderlich, he adds. Ist eine absolutmessung nicht von interesse oder nicht möglich, he says.","{{T5}}"
"Absolutmessung","Unter einer Absolutmessung versteht man in der Experimentalphysik die quantitative Bestimmung einer Messgröße, unter Angabe von Maßeinheiten. Voraussetzung hierfür ist eine Kalibrierung der Messapparatur. Nicht immer sind Absolutmessungen zur Klärung einer physikalischen Fragestellung erforderlich (z. B. bei der experimentellen Bestimmung des Exponenten bei einem theoretisch vorhergesagten Potenzgesetz). Ist eine Absolutmessung nicht von Interesse oder nicht möglich, werden die Messergebnisse in willkürlichen Einheiten (engl.: arbitrary units, abgekürzt a.u.) angegeben. In der Geodäsie versteht man unter einer Absolutmessung die Vermessung zur Erfassung von Bewegungen und Verformungen eines zu überwachenden Objektes oder einzelner Objektpunkte, gegenüber einem äußeren durch die zu erwartenden Formveränderungen des Objektes nicht beeinflussten Bezugssystem.","Unter einer Absolutmessung versteht man in der Experimentalphysik die Messung des Gesamtwertes einer physikalischen Größe durch Rückführung auf physikalische Basiseinheiten auf der Grundlage expliziter, exakter, gesetzmäßiger Zusammenhänge und bekannter Naturkonstanten. In der Geodäsie versteht man unter einer Absolutmessung die Vermessung zur Erfassung von Bewegungen und Verformungen eines zu überwachenden Objektes oder einzelner Objektpunkte, gegenüber einem äußeren durch die zu erwartenden Formveränderungen des Objektes nicht beeinflussten Bezugssystem.","unter einer absoluten messung versteht man in der experimentalphysik die quantitative Bestimmung einer messgröße, unter Angabe von Maßeinheiten. Voraussetzung hierfür ist eine Kalibrierung der messapparatur.","Unter einer Absolutmessung versteht man in der Experimentalphysik die quantitative Bestimmung einer Messgröße, unter Angabe von Maßeinheiten. Voraussetzung hierfür ist eine Kalibrierung der Messapparatur.","In der Experimentalphysik versteht man die quantitative Bestimmung einer Messgröße. Voraussetzung hierfür ist eine Kalibrierung der Messapparatur. Ist eine Absolutmessung nicht von Interesse oder nicht möglich, werden die Messergebnisse in willkürlichen Einheiten (engl.: arbitrary units, abge","Nicht immer sind absolRIPTessungen zur klärung einer physikalischen fragestellung erforderlich, he adds. Ist eine absolutmessung nicht von interesse oder nicht möglich, he says.","{{abs}}"
"Absolutmessung","Unter einer Absolutmessung versteht man in der Experimentalphysik die quantitative Bestimmung einer Messgröße, unter Angabe von Maßeinheiten. Voraussetzung hierfür ist eine Kalibrierung der Messapparatur. Nicht immer sind Absolutmessungen zur Klärung einer physikalischen Fragestellung erforderlich (z. B. bei der experimentellen Bestimmung des Exponenten bei einem theoretisch vorhergesagten Potenzgesetz). Ist eine Absolutmessung nicht von Interesse oder nicht möglich, werden die Messergebnisse in willkürlichen Einheiten (engl.: arbitrary units, abgekürzt a.u.) angegeben. In der Geodäsie versteht man unter einer Absolutmessung die Vermessung zur Erfassung von Bewegungen und Verformungen eines zu überwachenden Objektes oder einzelner Objektpunkte, gegenüber einem äußeren durch die zu erwartenden Formveränderungen des Objektes nicht beeinflussten Bezugssystem.","Unter einer Absolutmessung versteht man in der Experimentalphysik die Messung des Gesamtwertes einer physikalischen Größe durch Rückführung auf physikalische Basiseinheiten auf der Grundlage expliziter, exakter, gesetzmäßiger Zusammenhänge und bekannter Naturkonstanten. In der Geodäsie versteht man unter einer Absolutmessung die Vermessung zur Erfassung von Bewegungen und Verformungen eines zu überwachenden Objektes oder einzelner Objektpunkte, gegenüber einem äußeren durch die zu erwartenden Formveränderungen des Objektes nicht beeinflussten Bezugssystem.","unter einer absoluten messung versteht man in der experimentalphysik die quantitative Bestimmung einer messgröße, unter Angabe von Maßeinheiten. Voraussetzung hierfür ist eine Kalibrierung der messapparatur.","Unter einer Absolutmessung versteht man in der Experimentalphysik die quantitative Bestimmung einer Messgröße, unter Angabe von Maßeinheiten. Voraussetzung hierfür ist eine Kalibrierung der Messapparatur.","In der Experimentalphysik versteht man die quantitative Bestimmung einer Messgröße. Voraussetzung hierfür ist eine Kalibrierung der Messapparatur. Ist eine Absolutmessung nicht von Interesse oder nicht möglich, werden die Messergebnisse in willkürlichen Einheiten (engl.: arbitrary units, abge","Nicht immer sind absolRIPTessungen zur klärung einer physikalischen fragestellung erforderlich, he adds. Ist eine absolutmessung nicht von interesse oder nicht möglich, he says.","{{T5}}"
"Advanced_Composition_Explorer","Der Advanced Composition Explorer kurz ACE ist der Name einer Raumsonde der NASA, die im am 25. August 1997 gestartet worden ist. ACE wurde im Rahmen des Explorer-Programms realisiert und trägt daher auch den Namen Explorer 71.","Der Advanced Composition Explorer kurz ACE ist der Name einer Raumsonde der NASA, die am 25. August 1997 gestartet worden ist. ACE wurde im Rahmen des Explorer-Programms realisiert und trägt daher auch den Namen Explorer 71.","ACE is the name of a spacesonde of the NASA, which was launched in am 25. august 1997. ACE was im Rahmen des Explorer-Programms realisiert und trägt daher auch den Namen Explorer 71.","Der Advanced Composition Explorer 71, kurz ACE ist der Name einer Raumsonde der NASA, die am 25. August 1997 gestartet worden ist. ACE wurde im Rahmen des Explorer-Programms realisiert und trägt daher auch den Namen Explorer 71.","ACE ist der Name einer Raumsonde der NASA, die im am 25. August 1997 gestartet worden ist. ACE wurde im Rahmen des Explorer-Programms realisiert and trägt daher auch den Namen Explorer 71.","The ""Ace"" is the name of an advanced composition explorer in the ""Expedition 71"" The ""Ance"" is a raumsonde from the ""advanced composition explorer"" program, which was launched in 1997. The "" Ace"" is also known as the "" explorer 71"" or ""Expert 71""","{{BART-CNN}}"
